SampleID;Latitude;Longitude;Locality;Reference;Sampling_effort;Traps;Study_year;Country;Ecorregion;Vegetation_type;Division;;;;;;;;;;;;;;
71;-21.26667;-44.61667;próximo a Chapada das Perdizes;Machado 2015;30576;sherman, wire-mesh, pitfall;2012-2013;Brazil;Cerrado;Savannah;Interior forests;;;;;;;;;;;;;;
72;-21.30000;-44.97500;região do Alto Rio Grande;Mesquita e Passamani 2012;6300;sherman, wire-mesh;2007-2008;Brazil;Cerrado;Savannah;Interior forests;;;;;;;;;;;;;;
73;-21.35316;-42.21609;Miracema;Gonçalves et al. 2016;2340;sherman, wire-mesh;2013-2014;Brazil;Bahia interior forest;Semideciduous seasonal forest;Interior forests;;;;;;;;;;;;;;
74;-21.46835;-41.91248;Fazenda Samburá;R. Cerqueira unpublished data;2530;sherman, wire-mesh, pitfall;2007;Brazil;Bahia interior forest;Semideciduous seasonal forest;Interior forests;;;;;;;;;;;;;;
75;-21.48613;-41.85872;Cambuci;Gonçalves et al. 2016;2340;sherman, wire-mesh;2013-2014;Brazil;Bahia interior forest;Semideciduous seasonal forest;Interior forests;;;;;;;;;;;;;;
76;-21.55000;-47.85000;"Estação Ecológica de Jataí; Estação Experimental de Luiz Antônio ";Talamoni & Dias 1999;2400;sherman;1992-1993;Brazil;Cerrado;Savannah;Interior forests;;;;;;;;;;;;;;
77;-21.59320;-44.57708;Chapada das Perdizes - Floresta nebular;Machado et al. 2013;4080;sherman, wire-mesh, pitfall;2009-2010;Brazil;Cerrado;Savannah;Interior forests;;;;;;;;;;;;;;
78;-21.59579;-44.56243;Chapada das Perdizes - Floresta semidecidua;Machado et al. 2013;5040;sherman, wire-mesh, pitfall;2009-2010;Brazil;Cerrado;Savannah;Interior forests;;;;;;;;;;;;;;
79;-21.89368;-46.75313;Serra da Fartura;Moraes et al. 2003;3200;sherman;1999-2001;Brazil;Alto Paraná Atlantic forests;Semideciduous seasonal forest;Interior forests;;;;;;;;;;;;;;
80;-22.02907;-42.62769;Encanto;Bonecker et al. 2009;9000;sherman, wire-mesh;2001-2006;Brazil;Alto Paraná Atlantic forests;Dense ombrophilous forest;Interior forests;;;;;;;;;;;;;;
81;-22.04611;-42.68917;Vale do Pamparrão;D’Andrea et al. 2007;5700;wire-mesh;1997-1999;Brazil;Alto Paraná Atlantic forests;Dense ombrophilous forest;Interior forests;;;;;;;;;;;;;;
82;-22.04611;-42.68917;Vale do Pamparrão;D’Andrea et al. 1999;12250;wire-mesh;1991-1996;Brazil;Alto Paraná Atlantic forests;Dense ombrophilous forest;Interior forests;;;;;;;;;;;;;;
83;-22.29167;-47.66667;bacia do rio Passa-Cinco;Gheler-Costa et al. 2012;5760;sherman (2 sizes);2003-2005;Brazil;Cerrado;Savannah;Interior forests;;;;;;;;;;;;;;
84;-22.36667;-47.46667;Fazenda São José;Briani et al. 2001;911;sherman, wire-mesh;1997-1999;Brazil;Alto Paraná Atlantic forests;Semideciduous seasonal forest;Interior forests;;;;;;;;;;;;;;
85;-22.42077;-52.31169;Pontal do Paranapanema;Rocha 2004;22993;sherman, wire-mesh;2002-2003;Brazil;Alto Paraná Atlantic forests;Semideciduous seasonal forest;Interior forests;;;;;;;;;;;;;;
86;-22.42077;-52.31169;Pontal do Paranapanema;Nardi 2010;16128;sherman, wire-mesh;2008-2009;Brazil;Alto Paraná Atlantic forests;Semideciduous seasonal forest;Interior forests;;;;;;;;;;;;;;
87;-22.43645;-44.62518;Parque Nacional do Itatiaia;Moraes et al. 2003;3200;sherman;1999-2001;Brazil;Alto Paraná Atlantic forests;Semideciduous seasonal forest;Interior forests;;;;;;;;;;;;;;
88;-22.45806;-43.00389;Rancho Frio, Parque Nacional da Serra dos Órgãos;R. Cerqueira unpublished data;54200;sherman, wire-mesh, pitfall;2012-2017;Brazil;Serra do Mar coastal forests;Dense ombrophilous forest;Serra do Mar;;;;;;;;;;;;;;
89;-22.46667;-42.65000;Fazenda Relógio do Sol, Serra dos Órgãos;R. Cerqueira unpublished data;900;sherman, wire-mesh;1996-1998;Brazil;Serra do Mar coastal forests;Dense ombrophilous forest;Serra do Mar;;;;;;;;;;;;;;
90;-22.46667;-42.98333;Garrafão, Parque Nacional da Serra dos Órgãos;Prevedello et al. 2008;69525;sherman, wire-mesh (2 sizes);1997-2007;Brazil;Serra do Mar coastal forests;Dense ombrophilous forest;Serra do Mar;;;;;;;;;;;;;;
91;-22.48364;-41.89796;Área de Relevante Interesse Ecológico Itapebussus;Almada 2015;1981;sherman, wire-mesh, pitfall;2013-2014;Brazil;Serra do Mar coastal forests;Dense ombrophilous forest;Serra do Mar;;;;;;;;;;;;;;
92;-22.48590;-42.95902;Parque da Caneca Fina, Serra dos Órgãos;R. Cerqueira unpublished data;900;sherman, wire-mesh;1996-1998;Brazil;Serra do Mar coastal forests;Dense ombrophilous forest;Serra do Mar;;;;;;;;;;;;;;
93;-22.48685;-43.11278;Sede Petrópolis, Parque Nacional da Serra dos Órgãos;A. C. Delciellos and R. Gentile unpublished data;5800;sherman, wire-mesh, pitfall;2014-2015;Brazil;Serra do Mar coastal forests;Dense ombrophilous forest;Serra do Mar;;;;;;;;;;;;;;
94;-22.54389;-42.30694;Portuense, Reserva Biológica Poço das Antas;Viveiros de Castro 2002;5520;sherman, wire-mesh;2000-2001;Brazil;Serra do Mar coastal forests;Dense ombrophilous forest;Serra do Mar;;;;;;;;;;;;;;
95;-22.54389;-42.30694;Osmarina, Reserva Biológica Poço das Antas;Pereira 1991;6210;sherman, wire-mesh (2 sizes);1988-1989;Brazil;Serra do Mar coastal forests;Dense ombrophilous forest;Serra do Mar;;;;;;;;;;;;;;
96;-22.58333;-42.25528;Ilhas dos Barbados, Reserva Biológica Poço das Antas;Oliveira 2001;7712;sherman, wire-mesh;1998-1999;Brazil;Serra do Mar coastal forests;Dense ombrophilous forest;Serra do Mar;;;;;;;;;;;;;;
97;-22.61389;-42.86667;sites de Mata Contínua, Serra dos Órgãos;Vieira et al. 2009;1200;sherman, wire-mesh;1999-2001;Brazil;Serra do Mar coastal forests;Dense ombrophilous forest;Serra do Mar;;;;;;;;;;;;;;
98;-22.61944;-42.81389;fragmentos de mata na Bacia do Rio Macacu;Vieira et al. 2009;12600;sherman, wire-mesh;1999-2001 / 2005-2007;Brazil;Serra do Mar coastal forests;Dense ombrophilous forest;Serra do Mar;;;;;;;;;;;;;;
99;-22.71667;-46.91667;Pedreira;Bonvicino et al. 2002;1830;sherman, wire-mesh;1996-1997;Brazil;Serra do Mar coastal forests;Savannah/Dense ombrophilous forest;Serra do Mar;;;;;;;;;;;;;;
100;-22.73542;-44.61678;Parque Nacional da Serra da Bocaina;Moraes et al. 2003;3200;sherman;1999-2001;Brazil;Campos Rupestres montane savanna;Dense ombrophilous forest;Serra do Mar;;;;;;;;;;;;;;
101;-22.77222;-53.26694;Ilha Mutum;Gomes 2009;2520;wire-mesh;2008;Brazil;Alto Paraná Atlantic forests;Semideciduous seasonal forest;Interior forests;;;;;;;;;;;;;;
102;-22.89583;-42.86250;Restinga de Barra de Maricá;Cerqueira et al. 1990;5250;wire-mesh (2 sizes);1985-1988;Brazil;Serra do Mar coastal forests;Marine-influenced pioneer formation area;Serra do Mar;;;;;;;;;;;;;;
103;-22.94056;-43.44111;Parque Estadual da Pedra Branca;Oliveira et al. 2010;13200;sherman, wire-mesh (2 sizes);2005-2007;Brazil;Serra do Mar coastal forests;Dense ombrophilous forest;Serra do Mar;;;;;;;;;;;;;;
104;-22.99232;-44.09793;Fazenda Bom Jardim;R. Cerqueira unpublished data;1860;sherman, wire-mesh, pitfall;2005;Brazil;Serra do Mar coastal forests;Dense ombrophilous forest;Serra do Mar;;;;;;;;;;;;;;
105;-23.16667;-44.24167;Vila Dois Rios;Martins-Hatano et al. 2002;7200;sherman,  wire-mesh (2 sizes) ;1998-1999;Brazil;Serra do Mar coastal forests;Dense ombrophilous forest;Serra do Mar;;;;;;;;;;;;;;
106;-23.16667;-44.24167;Vila Dois Rios;Bittencourt & Rocha 2003;7474;sherman, wire-mesh;1996-1997;Brazil;Serra do Mar coastal forests;Dense ombrophilous forest;Serra do Mar;;;;;;;;;;;;;;
107;-23.19861;-44.84000;Parque Nacional da Serra da Bocaina;Delciellos et al. 2012;1235;sherman, wire-mesh, pitfall;2010-2011;Brazil;Serra do Mar coastal forests;Dense ombrophilous forest;Serra do Mar;;;;;;;;;;;;;;
108;-23.33333;-48.45000;Alto Paranapanema;Martin et al. 2012;4977;pitfall;2007-2009;Brazil;Cerrado;Savannah;Interior forests;;;;;;;;;;;;;;
109;-23.35000;-44.83333;Picinguaba;Pinheiro & Geise 2008;2192;sherman, wire-mesh, pitfall;2002;Brazil;Serra do Mar coastal forests;Dense ombrophilous forest;Serra do Mar;;;;;;;;;;;;;;
110;-23.37500;-45.16667;Núcleo Santa Virginia;Neves 2010;6840;sherman (3 sizes), wire-mesh, pitfall;2008-2009;Brazil;Serra do Mar coastal forests;Dense ombrophilous forest;Serra do Mar;;;;;;;;;;;;;;
111;-23.54583;-46.93472;Planalto Paulistano;Barros-Battesti et al. 2000;2888;wire-mesh (2 sizes);1995-1996;Brazil;Serra do Mar coastal forests;Dense ombrophilous forest;Serra do Mar;;;;;;;;;;;;;;
112;-23.58139;-47.52444;campus UFSCAR Sorocaba;Galvão 2012;1680;sherman (2 sizes), wire-mesh;2010-2011;Brazil;Alto Paraná Atlantic forests;Savannah/Dense ombrophilous forest;Interior forests;;;;;;;;;;;;;;
113;-23.65000;-47.01667;Reserva Florestal do Morro Grande;Naxara et al. 2009;2700;pitfall;2004-2005;Brazil;Serra do Mar coastal forests;Dense ombrophilous forest;Serra do Mar;;;;;;;;;;;;;;
114;-23.69018;-46.95310;Reserva Florestal do Morro Grande;Barros 2013;55440;sherman, pitfall;2008-2009;Brazil;Serra do Mar coastal forests;Dense ombrophilous forest;Serra do Mar;;;;;;;;;;;;;;
115;-23.70000;-46.98333;Reserva Florestal do Morro Grande;Pardini & Umetsu 2006;8160;sherman, pitfall;2003-2004;Brazil;Serra do Mar coastal forests;Dense ombrophilous forest;Serra do Mar;;;;;;;;;;;;;;
116;-23.70833;-46.91667;Planalto Cristalino de Ibiúna, Caucaia do Alto;Umetsu 2005;35360;sherman, pitfall;2002-2005;Brazil;Serra do Mar coastal forests;Dense ombrophilous forest;Serra do Mar;;;;;;;;;;;;;;
117;-23.87917;-47.49625;Planalto de Ibiúna;Naxara 2007;20736;sherman (2 sizes), wire-mesh, pitfall;2006-2007;Brazil;Serra do Mar coastal forests;Dense ombrophilous forest;Serra do Mar;;;;;;;;;;;;;;
118;-23.91361;-47.68861;Fazenda João XXIII, Eucatex S/A Industria e Comercio, Área de Proteção Ambiental da Serra do Tapiraí;Silva 2001;10860;wire-mesh, pitfall;1998-1999;Brazil;Serra do Mar coastal forests;Savannah/Dense ombrophilous forest;Serra do Mar;;;;;;;;;;;;;;
119;-24.14900;-55.43200;Mbaracayú Natural Forest Reserve;de la Sancha 2014;31600;sherman, guillotine, pitfall;2006-2009;Paraguay;Alto Paraná Atlantic forests;Semideciduous seasonal forest;Interior forests;;;;;;;;;;;;;;
120;-24.16139;-48.35083;Pedreira Limeira;Leiner & Silva 2012;6120;sherman, pitfall;2005-2008;Brazil;Alto Paraná Atlantic forests;Mixed ombrophilous forest;Serra do Mar;;;;;;;;;;;;;;
121;-24.20057;-48.42607;Fazenda Intermontes;Leiner 2009;12000;sherman;2006-2007;Brazil;Alto Paraná Atlantic forests;Savannah/Dense ombrophilous forest;Serra do Mar;;;;;;;;;;;;;;
122;-24.23333;-48.06667;Saibadela;Vieira 1999;17361;sherman, wire-mesh;1995-1997;Brazil;Serra do Mar coastal forests;Dense ombrophilous forest;Serra do Mar;;;;;;;;;;;;;;
